,NAME,Total:,Population of one race:,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Some other race,Population of two or more races:,Two races including Some other race,"Two races excluding Some other race, self.assertNotIn(member, container)d three or more races",Population of two races:,White; Black or African American,White; American Indian and Alaska Native,White; Asian,Black or African American; American Indian and Alaska Native,All other two race combinations,Population of three races,Population of four or more races,GEO_ID,state
40,Michigan,9986857,9684517,7812165,1371069,57785,327230,2078,114190,302340,22839,279501,280791,121042,63669,54495,11036,30549,19821,1728,0400000US26,26
41,Minnesota,5639632,5453049,4627588,370291,57414,285630,2753,109373,186583,17946,168637,172444,63104,42625,38297,3483,24935,13721,418,0400000US27,27
42,Connecticut,3565287,3434219,2660228,396745,9052,166393,1155,200646,131068,25662,105406,118439,50094,11397,22678,5444,28826,11487,1142,0400000US09,09
43,Florida,21477737,20846185,16010079,3441062,59558,599799,16162,719525,631552,97525,534027,582597,233440,77098,116163,10063,145833,43972,4983,0400000US12,12
44,Alabama,4903185,4811663,3326375,1319551,23265,66129,1892,74451,91522,6258,85264,85438,34445,24552,14446,1663,10332,5148,936,0400000US01,01
45,Alaska,731545,674069,469771,22551,115544,43678,9923,12602,57476,2591,54885,52415,7397,24557,11989,1208,7264,4581,480,0400000US02,02
46,Arizona,7278717,6998143,5701810,343729,332273,241721,14168,364442,280574,52367,228207,261176,61967,56836,62786,7782,71805,17607,1791,0400000US04,04
47,Arkansas,3017804,2934201,2315020,467468,17216,46078,12829,75590,83603,7216,76387,80115,26888,31720,9614,2596,9297,3372,116,0400000US05,05
48,California,39512223,37534078,23484958,2282144,321112,5865435,155871,5424558,1978145,421998,1556147,1809759,283466,289679,611518,33957,591139,149757,18629,0400000US06,06
49,Colorado,5758736,5525793,4822379,240538,57578,188461,7756,209081,232943,34753,198190,211473,46426,56170,55654,4442,48781,19938,1532,0400000US08,08
50,Delaware,973764,943597,659719,219418,4353,36592,428,23087,30167,3218,26949,27899,14479,2456,5604,428,4932,2091,177,0400000US10,10
51,District of Columbia,705749,682428,300058,320704,1886,28722,190,30868,23321,2545,20776,21428,7476,692,7053,2396,3811,1503,390,0400000US11,11
